"region";"subregion";"key";"value"
"AMP";"Arouca";"Alvarenga";1057
"AMP";"Arouca";"Chave";1270
"AMP";"Arouca";"Escariz";2114
"AMP";"Arouca";"Fermedo";1261
"AMP";"Arouca";"Mansores";1100
"AMP";"Arouca";"Moldes";1126
"AMP";"Arouca";"Rossas";1491
"AMP";"Arouca";"Santa Eulália";2120
"AMP";"Arouca";"São Miguel do Mato";550
"AMP";"Arouca";"Tropeço";1086
"AMP";"Arouca";"União das Freguesias de Arouca e Burgo";5124
"AMP";"Arouca";"União das Freguesias de Cabreiros e Albergaria da Serra";185
"AMP";"Arouca";"União das Freguesias de Canelas e Espiunca";1065
"AMP";"Arouca";"União das Freguesias de Covelo de Paivó e Janarde";171
"AMP";"Arouca";"Urrô";900
"AMP";"Arouca";"Várzea";534
"AMP";"Espinho";"Espinho";10434
"AMP";"Espinho";"Paramos";3127
"AMP";"Espinho";"Silvalde";6108
"AMP";"Espinho";"União das Freguesias de Anta e Guetim";11376
"AMP";"Gondomar";"Baguim do Monte (Rio Tinto)";14387
"AMP";"Gondomar";"Lomba";1286
"AMP";"Gondomar";"Rio Tinto";51086
"AMP";"Gondomar";"União das Freguesias de Fânzeres e São Pedro da Cova";37756
"AMP";"Gondomar";"União das Freguesias de Foz do Sousa e Covelo";7040
"AMP";"Gondomar";"União das Freguesias de Gondomar (São Cosme), Valbom e Jovim";47427
"AMP";"Gondomar";"União das Freguesias de Melres e Medas";5295
"AMP";"Maia";"Águas Santas";26635
"AMP";"Maia";"Castêlo da Maia";18588
"AMP";"Maia";"Cidade da Maia";40535
"AMP";"Maia";"Folgosa";3605
"AMP";"Maia";"Milheirós";4762
"AMP";"Maia";"Moreira";13094
"AMP";"Maia";"Nogueira e Silva Escura";8381
"AMP";"Maia";"Pedrouços";11568
"AMP";"Maia";"São Pedro Fins";1816
"AMP";"Maia";"Vila Nova da Telha";6004
"AMP";"Matosinhos";"União das Freguesias de Custóias, Leça do Balio e Guifões";44048
"AMP";"Matosinhos";"União das Freguesias de Matosinhos e Leça da Palmeira";49046
"AMP";"Matosinhos";"União das Freguesias de Perafita, Lavra e Santa Cruz do Bispo";29653
"AMP";"Matosinhos";"União das Freguesias de São Mamede de Infesta e Senhora da Hora";49839
